25
24
1.00	1
2.00	1
3.00	1
4.00	1
5.00	1
1.00	2
2.00	2
3.00	2
4.00	2
5.00	2
1.00	3
2.00	3
3.00	3
4.00	3
5.00	3
1.00	4
2.00	4
3.00	4
4.00	4
5.00	4
1.00	5
2.00	5
3.00	5
4.00	5
5.00	5
0.00	0.00
1.00	0
2.00	0
3.00	0
4.00	0
5.00	0
6.00	0
0.00	1.00
6.00	1
0.00	2.00
6.00	2
0.00	3.00
6.00	3
0.00	4.00
6.00	4
0.00	5.00
6.00	5
0.00	6.00
1.00	6
2.00	6
3.00	6
4.00	6
5.00	6
6.00	6
72
26	27	1
26	1	33
27	28	2
27	2	1
28	29	3
28	3	2
29	30	4
29	4	3
30	31	5
30	5	4
31	32	34
31	34	5
33	1	6
33	6	35
1	2	7
1	7	6
2	3	8
2	8	7
3	4	9
3	9	8
4	5	10
4	10	9
5	34	36
5	36	10
35	6	11
35	11	37
6	7	12
6	12	11
7	8	13
7	13	12
8	9	14
8	14	13
9	10	15
9	15	14
10	36	38
10	38	15
37	11	16
37	16	39
11	12	17
11	17	16
12	13	18
12	18	17
13	14	19
13	19	18
14	15	20
14	20	19
15	38	40
15	40	20
39	16	21
39	21	41
16	17	22
16	22	21
17	18	23
17	23	22
18	19	24
18	24	23
19	20	25
19	25	24
20	40	42
20	42	25
41	21	44
41	44	43
21	22	45
21	45	44
22	23	46
22	46	45
23	24	47
23	47	46
24	25	48
24	48	47
25	42	49
25	49	48

      
      
      




